id	cond	chrf	term_recall	al
el_135	oracle	10.3	0.17	-1.33
el_135	wrong	51.1	0.67	1.84
el_95	none	4.0	0.00	-1.50
el_95	slide	4.0	0.00	-1.50
el_95	oracle	4.0	0.00	-1.50
el_95	wrong	4.0	0.00	-1.50
el_127	none	19.5	0.20	0.50
el_127	slide	19.5	0.20	0.50
el_127	oracle	19.5	0.20	0.25
el_127	wrong	19.5	0.20	0.25
el_83	none	67.4	1.00	1.99
el_83	slide	67.4	1.00	2.37
el_83	oracle	66.7	1.00	2.21
el_83	wrong	67.4	1.00	2.62
el_47	none	11.0	0.00	0.67
el_47	slide	28.9	0.33	0.80
el_47	oracle	89.7	1.00	2.50
el_47	wrong	67.8	0.67	2.50
zh_001	none	40.2	0.50	-1.76
zh_001	slide	40.2	0.50	-1.86
zh_001	oracle	24.4	0.33	-1.58
zh_001	wrong	50.8	0.67	4.23
zh_002	none	56.9	0.33	-0.67
zh_002	slide	57.7	0.33	0.21
zh_002	oracle	71.6	0.83	-0.50
zh_002	wrong	69.3	0.50	0.57
zh_003	none	75.5	0.83	3.52
zh_003	slide	32.1	0.50	0.86
zh_003	oracle	85.7	0.83	2.92
zh_003	wrong	34.6	0.50	1.44
zh_004	none	22.6	0.00	1.33
zh_004	slide	18.3	0.00	1.00
zh_004	oracle	32.6	0.33	1.25
zh_004	wrong	62.3	1.00	2.78
zh_005	none	100.0	1.00	1.67
zh_005	slide	100.0	1.00	1.07
zh_005	oracle	100.0	1.00	1.67
zh_005	wrong	100.0	1.00	1.67
zh_006	none	25.1	0.00	1.29
zh_006	slide	43.9	0.67	1.33
zh_006	oracle	56.1	1.00	2.03
zh_006	wrong	22.3	0.00	1.25
zh_007	none	42.1	0.67	0.30
zh_007	slide	32.5	0.50	-0.33
zh_007	oracle	40.1	0.67	-0.12
zh_007	wrong	84.1	1.00	2.61
zh_008	none	46.4	0.67	-0.29
zh_008	slide	80.5	0.83	1.84
zh_008	oracle	87.7	0.83	2.18
zh_008	wrong	76.9	0.67	2.23
zh_009	none	65.7	0.50	0.53
zh_009	slide	83.6	1.00	1.56
zh_009	oracle	75.1	1.00	0.25
zh_009	wrong	86.2	0.83	3.25
zh_010	none	56.3	0.83	0.18
zh_010	slide	44.0	0.67	-1.44
zh_010	oracle	56.3	0.83	-0.39
zh_010	wrong	19.5	0.33	-2.43
zh_011	none	59.4	0.83	1.00
zh_011	slide	60.0	0.83	0.78
zh_011	oracle	41.9	0.67	0.46
zh_011	wrong	38.8	0.50	2.09
zh_012	none	14.8	0.17	-2.00
zh_012	slide	23.4	0.33	-2.00
zh_012	oracle	48.5	0.67	0.04
zh_012	wrong	59.6	0.67	1.33
zh_013	none	71.2	0.83	2.16
zh_013	slide	11.5	0.00	-0.75
zh_013	oracle	14.9	0.17	-1.50
zh_013	wrong	11.5	0.00	-0.75
zh_014	none	4.5	0.00	-0.75
zh_014	slide	82.4	0.83	4.42
zh_014	oracle	81.9	0.83	4.36
zh_014	wrong	4.5	0.00	-0.75
zh_015	none	25.6	0.33	-0.83
zh_015	slide	9.8	0.17	-1.33
zh_015	oracle	25.6	0.33	-1.50
zh_015	wrong	9.8	0.17	-1.33
zh_016	none	81.3	0.83	1.68
zh_016	slide	81.3	0.83	1.63
zh_016	oracle	57.2	0.50	0.12
zh_016	wrong	54.8	0.33	-0.06
